"Text Editing","Expand","⌘Numpad_Add","Editing Text"
"Edit","Copy","⌘C","In Dialogs and Windows"
"Window","Switch to Editor","⇧⌘E","In Windows"
"Text Editing","Previous Word","⌥←","Editing Text"
"Text Editing","Delete to End of Line","⇧⌘⌦","Editing Text"
"Text Editing","Select Text End","⇧↘","Editing Text"
"Task Repositories","Open Selected Task","⌘↩","In Tasks View"
"Git","Paste Repository Path or URI","⌘V","In Git Repositories View"
"Window","Next Editor","⌘F6","In Windows"
"Edit","Redo","⇧⌃+","In Windows"
"Views","Show View (Git Repositories)","⌘9","In Windows"
"Edit","Incremental Find","⌃S","Editing Text"
"Window","Quick Access","⌘3","In Windows"
"Task Editor","Submit Task","⇧⌥S","In Tasks Editor"
"Run/Debug","Go to Address...","⌘G","In Disassembly"
"Run/Debug","Toggle Memory Monitors Pane","⌘T","In Memory View"
"Edit","Copy","⌥W","In Dialogs and Windows"
"Source","Explore Macro Expansion","⌘#","C/C++ Editor"
"File","Save","⌘S","In Windows"
"Navigate","Deactivate Task","⇧⌘F9","In Windows"
"Edit","Quick Diff Toggle","⇧⌃Q","Editing Text"
"Terminal view commands","Terminal view insert","⌥A","Terminal Typing Connected"
"Source","Organize Includes","⇧⌘O","C/C++ Editor"
"Window","Next View","⌘F7","In Windows"
"Navigate","Open Include Browser","⌥⌘I","In C/C++ Views"
"Text Editing","Previous Column","⌃B","Editing Text"
"Edit","Undo","⇧⌃-","In Windows"
"Edit","Context Information","⇧⌃Space","In Dialogs and Windows"
"Text Editing","Insert Line Below Current Line","⇧↩","Editing Text"
"Run/Debug","Run","⌘R","In Windows"
"Window","Activate Editor","⌘F12","In Windows"
"Edit","Select Enclosing C/C++ Element","⇧⌃↑","C/C++ Editor"
"Edit","Incremental Find Reverse","⇧⌘J","Editing Text"
"Run/Debug","Go to Program Counter","↖","In Disassembly"
"Window","Maximize Active View or Editor","⌃M","In Windows"
"Git","Commit...","⌥⌘3","In Windows"
"Terminal view commands","Terminal view insert","⌥P","Terminal Typing Connected"
"Focused UI","Make Less Interesting","⇧⌥⌘↓","In Windows"
"Reverse Debugging Commands","Reverse Step Into","⇧F5","Debugging C/C++"
"Text Editing","Text Start","Esc <","Editing Text"
"Run/Debug","Close Rendering","⌘W","In Memory View"
"File","Refresh","F5","In Windows"
"Text Editing","Delete Line","⌘D","Editing Text"
"Text Editing","Text Start","⌘↖","Editing Text"
"Reverse Debugging Commands","Reverse Resume","⇧F8","Debugging C/C++"
"Project","Build All","⌘B","In Windows"
"Changelog","Insert ChangeLog entry","⌃⌥C","Comparing in an Editor"
"Edit","Find and Replace","⌥R","In Windows"
"Window","Toggle Split Editor (Horizontal)","⇧⌘-","In Windows"
"File","Close","⌃X K","In Windows"
"Navigate","Go To Next Unread Task","⌥↓","In Tasks View"
"Text Editing","To Upper Case","⇧⌘X","Editing Text"
"Source","Show outline","⌃6","C/C++ Editor"
"File","Print","Esc F9","In Windows"
"Reverse Debugging Commands","Uncall","⇧F7","Debugging C/C++"
"Source","Add Block Comment","⇧⌘/","C/C++ Editor"
"Text Editing","Select Previous Word","⇧⌥←","Editing Text"
"Edit","Find and Replace","⌘F","In Windows"
"Views","Show View (Variables)","⌥⌘Q V","In Windows"
"Changelog","Prepare Changelog","⌃⌥P","In Windows"
"Text Editing","To Lower Case","⇧⌘Y","Editing Text"
"Text Editing","Text Start","↖","Editing Text"
"Terminal view commands","Paste","⇧⌘V","Terminal Widget in Focus"
"Edit","Select Next C/C++ Element","⇧⌃→","C/C++ Editor"
"Terminal view commands","Terminal view insert","⌥V","Terminal Typing Connected"
"Source","Declaration","⌘G","In C/C++ Views"
"Task Repositories","Mark Task Complete","⇧⌥C","In Tasks Editor"
"File","Close","⌘W","In Windows"
"Makefile Source","Comment","⌃/","Makefile Editor"
"File","New","⌘N","In Windows"
"Task Editor","Maximize Part","⇧⌘M","In Tasks Editor"
"UML2 Sequence Diagram Viewer Commands","Scroll left","⇧⌥←","UML2 Sequence Diagram Viewer"
"Text Editing","Clear Mark","⌃G","Editing Text"
"Text Editing","Select Text Start","⇧↖","Editing Text"
"Edit","Undo","F9","In Windows"
"Changelog","Prepare Changelog In Editor","⌃⌥P","Comparing in an Editor"
"Text Editing","Text End","Esc >","Editing Text"
"Views","Show View (Project Explorer)","⌘1","In Windows"
"Changelog","Format ChangeLog","Esc ⌃F","Editing Text"
"Navigate","Open Type in Hierarchy","⇧⌘H","In C/C++ Views"
"Search","Open Search Dialog","⇧⌘F","In Windows"
"Changelog","Prepare Changelog In Editor","⌃⌥P","Editing Text"
"Navigate","Go To Previous Unread Task","⌥↑","In Tasks View"
"Edit","Find Previous","⇧⌘K","Editing Text"
"Terminal view commands","Paste","⌘V","Terminal Widget in Focus"
"UML2 Sequence Diagram Viewer Commands","Scroll down","⇧⌥↓","UML2 Sequence Diagram Viewer"
"Text Editing","Line Start","⌘←","Editing Text"
"Source","Format","⇧⌘F","C/C++ Editor"
"Window","Quick Switch Editor","⌃E","In Windows"
"Window","Previous View","⇧⌘F7","In Windows"
"Task Repositories","Mark Task Incomplete","⇧⌥I","In Tasks View"
"Refactor - C++","Extract Local Variable - Refactoring ","⌥⌘L","C/C++ Editor"
"Text Editing","Page Down","⌃V","Editing Text"
"Window","Previous Editor","⇧⌘F6","In Windows"
"Edit","Paste","⌃Y","In Dialogs and Windows"
"Source","References","⌥⌘K","C/C++ Editor"
"Views","Show View (Search)","⌘3","In Windows"
"Makefile Source","Open declaration","F3","Makefile Editor"
